"name","substanceId","casNo","ecNo","pubchem_cid","pubchem"
"santalum album","37620","84787-70-2","284-111-1",,
"santalum album extract","80208","84787-70-2","284-111-1",,
"santalum album seed extract","59717","84787-70-2","284-111-1",,
"santalum album seed oil","80210","246866-27-3",,,
"santalum album wood powder","82842","84787-70-2","284-111-1",,
"santalum austrocaledonicum wood oil","85585","91845-48-6","295-223-5",,
"santalum austrocaledonicum wood water","88329","91845-48-6","295-223-5",,
"santalum paniculatum wood oil","91667",,,,
"santalum paniculatum wood water","97231",,,,
"santalum spicata wood oil","41093","8024-35-9","296-618-5",,
"santalum spicatum seed oil","93718",,,,
"santalum spicatum shell powder","95160",,,,
"santalum spicatum wood water","96774",,,,
"santalyl acetate","41094","1323-00-8","215-349-6",,
"santolina chamaecyparissus extract","80212","84961-58-0","284-647-6",,
"s-apamin sp","96925",,,,
"sapindus emarginatus fruit/sucrose ferment filtrate","89834",,,,
"sapindus emarginatus fruit extract","59718",,,,
"sapindus mukorossi fruit/pericarp extract","90282",,,,
"sapindus mukorossi fruit ferment extract","91220",,,,
"sapindus mukorossi fruit oil","91735",,,,
"sapindus mukorossi fruit powder","92876",,,,
"sapindus mukorossi leaf extract","95544",,,,
"sapindus mukorossi peel extract","92540",,,,
"sapindus mukorossi seed","93105",,,,
"sapindus mukorossi seed oil","94585",,,,
"sapindus oahuensis fruit extract","86881","-","-",,
"sapindus rarak fruit extract","86802","-","-",,
"sapindus saponaria fruit extract","98277",,,,
"saponaria officinalis extract","91703",,,,
"saponaria officinalis leaf/root extract","58274","84775-97-3","283-921-2",,
"saponaria officinalis root extract","82807","84775-97-3","283-921-2",,
"saponaria officinalis root powder","58275","84775-97-3","283-921-2",,
"saponaria pumila callus culture extract","91801",,,,
"saponaria pumila callus extract","91642",,,,
"saponinyl acetosteardimonium chloride","85719","-","-",,
"saposhnikovia divaricata callus culture conditioned media","98297",,,,
"saposhnikovia divaricata root extract","58276",,,,
"sapphire extract","87114","-","-",,
"sarcandra glabra leaf extract","98822",,,,
"sarcocapnos crassifolia callus lysate","94474",,,,
"sarcodiotheca gaudichaudii extract","83417","-","-",,
"sarcodon aspratus extract","86117","-","-",,
"sarcothalia crispata","96482",,,,
"sargachromanol a","86289","-","-",,
"sargachromanol b","86290","-","-",,
"sargachromanol c","86291","-","-",,
"sargachromanol d","86292","-","-",,
"sargachromanol e","86293","-","-",,
"sargachromanol f","86294","-","-",,
"sargassum filipendula extract","37631","223751-78-8",,,
"sargassum fusiforme extract","78614","223751-79-9",,,
"sargassum glaucescens extract","92329",,,,
"sargassum horneri extract","82914","-","-",,
"sargassum horneri powder","98685",,,,
"sargassum muticum extract","58278",,,,
"sargassum pacificum thallus extract","95897",,,,
"sargassum pallidum extract","58279",,,,
"sargassum serratifolium extract","94318",,,,
"sargassum siliquastrum extract","86338","-","-",,
"sargassum thunbergii extract","93896",,,,
"sargassum vulgare extract","58280",,,,
"sargassum yezoense extract","93897",,,,
"sarothamnus scoparius extract","58281","84696-48-0","283-653-6",,
"sarsasapogenin","85813","126-19-2","204-776-3",,
"sasa kurilensis leaf/stem extract","86695","-","-",,
"sasa kurilensis water","58282",,,,
"sasa palmata leaf extract","95842",,,,
"sasa quelpaertensis extract","82988","-","-",,
"sasa quelpaertensis leaf/stem extract","96665",,,,
"sasa senanensis leaf extract","82860","-","-",,
"sasa senanensis leaf powder","82861","-","-",,
"sasa veitchii","58283","-","-",,
"sasa veitchii leaf/stem water","58284","-","-",,
"sasa veitchii leaf extract","58285","-","-",,
"sasa veitchii leaf powder","88663","-","-",,
"sassafras officinale bark/root extract","58286","-","-",,
"sassafras officinale bark extract","83459","-","-",,
"sassafras officinale root oil","58287","8006-80-2","-",,
"satureja hortensis extract","93745","84775-98-4","283-922-8",,
"satureja hortensis leaf extract","93782",,,,
"satureja hortensis oil","93807",,,,
"satureja montana extract","90676","90106-57-3","290-280-2",,
"satureja montana oil","92856","90106-57-3","290-280-2",,
"saururus chinensis extract","83079","-","-",,
"saururus chinensis flower extract","82266","-","-",,
"saururus chinensis leaf/root extract","82319","-","-",,
"saururus chinensis leaf/stem extract","95179",,,,
"saururus chinensis root extract","85767","-","-",,
"saussurea involucrata callus extract","93188",,,,
"saussurea lappa extract hydrogenated","41099","99098-35-8","308-947-4",,
"saussurea lappa root extract","58291","90106-55-1","290-278-1",,
"saussurea lappa root powder","82693","90106-55-1","290-278-1",,
"saussurea pulchella leaf powder","98129",,,,
"saxifraga cespitosa extract","93833",,,,
"saxifraga oppositifolia extract","90570",,,,
"saxifraga sarmentosa extract","78616",,,,
"saxifraga sarmentosa water","91979",,,,
"saxifraga stolonifera leaf powder","58292",,,,
"saxifraga stolonifera water","91845",,,,
"s-black widow spider hexapeptide-1 sp","98044",,,,
"s-black widow spider pentapeptide-1 sp","98043",,,,
"s-bovine oligopeptide-1","95882",,,,
"s-box jellyfish octapeptide-1 sp","97653",,,,
"s-box jellyfish pentapeptide-1 sp","97652",,,,
"scabiosa arvensis extract","78617","90046-08-5","289-975-3",,
"scaevola taccada leaf extract","92060",,,,
"scallop shell powder","86175","-","-",,
"scenedesmus deserticola extract","95879",,,,
"scenedesmus deserticola ferment extract","94316",,,,
"scenedesmus rubescens extract","93404",,,,
"scentenal","41100","86803-90-9",,,
"s-centipede decapeptide-1","95402",,,,
"s-centipede oligopeptide-1 amide","94356",,,,
"schima wallichii bark extract","58293",,,,
"schinopsis quebracho-colorado wood extract","83627","-","-",,
"schinus molle extract","82584","94334-31-3","305-104-2",,
"schinus molle fruit extract","41101","94334-31-3","305-104-2",,
"schinus molle leaf extract","91733",,,,
"schinus molle oil","58294","68917-52-2 / 94334-31-3","- / 305-104-2",,
"schinus molle seed extract","85556","94334-31-3","305-104-2",,
"schinus terebinthifolia fruit extract","93810",,,,
"schinus terebinthifolia fruit oil","93846",,,,
"schinus terebinthifolia leaf extract","93845",,,,
"schinus terebinthifolia seed extract","93783",,,,
"schinus terebinthifolia seed oil","93856",,,,
"schinziophyton rautanenii kernel oil peg-8 esters","85543","-","-",,
"schinziophyton rautanenii kernel oil polyglyceryl-6 esters","85420","-","-",,
"schinziophyton rautanenii kernel powder","85854","-","-",,
"schisandra chinensis callus extract","93871","223748-53-6",,,
"schisandra chinensis fruit","93850","223748-53-6",,,
"schisandra chinensis fruit extract","93733","223748-53-6",,,
"schisandra chinensis fruit oil","93849","223748-53-6",,,
"schisandra chinensis fruit powder","93848","223748-53-6",,,
"schisandra chinensis fruit water","93822","223748-53-6",,,
"schisandra chinensis leaf extract","97024",,,,
"schisandra chinensis phytoplacenta extract","95893",,,,
"schisandra chinensis seed extract","93794","223748-53-6",,,
"schisandrin","91942","7432-28-2",,,
"schist","90583",,,,
"schist extract","97312",,,,
"schizandra nigra fruit extract","86486","-","-",,
"schizandra sphenanthera fruit extract","84196","-","-",,
"schizochytrium aggregatum oil","98758",,,,
"schizochytrium limacinum oil","96688",,,,
"schizonepeta tenuifolia extract","58299",,,,
"schizophyllan","58300","9050-67-3","-",,
"schizophyllum commune/citrus unshiu peel extract ferment filtrate","90015",,,,
"schizophyllum commune/panax ginseng ferment filtrate","94982",,,,
"schizophyllum commune/panax ginseng root ferment filtrate","94983",,,,
"schizophyllum commune ferment filtrate","91180",,,,
"schizophyllum commune mycelium","98667",,,,
"schizophyllum commune mycelium/rice ferment extract filtrate","93639",,,,
"schizophyllum commune mycelium ferment filtrate extract","83882","-","-",,
"schizophylum commune extract","92212",,,,
"schizosaccharomyces/fig fruit ferment filtrate","91351",,,,
"schizosaccharomyces ferment extract filtrate","58301",,,,
"schizothrix calciciola extract","87132","-","-",,
"schizothrix calcicola extract","92967",,,,
"schkuhria pinnata extract","90855",,,,
"schleichera trijuga seed oil","58303",,,,
"sciadopitys verticillata branch/leaf extract","85800","-","-",,
"sciadopitys verticillata branch/leaf oil","90534",,,,
"sciadopitys verticillata leaf oil","96766",,,,
"sciadopitys verticillata root extract","58304",,,,
"sciadopitys verticillata wood oil","96765",,,,
"scirpus fluviatilis rhizome extract","58305",,,,
"scirpus tabernaemontani extract","82994","-","-",,
"sclareol","41103","515-03-7","208-194-0",,
"scleranthus annuus flower extract","95353",,,,
"sclerocarya birrea callus extract","93103",,,,
"sclerocarya birrea fruit extract","58307",,,,
"sclerocarya birrea leaf extract","58308",,,,
"sclerocarya birrea seedcake","97036",,,,
"sclerocarya birrea seed oil peg-8 esters","82884","-","-",,
"sclerocarya birrea seed oil polyglyceryl-10 esters","82886","-","-",,
"sclerocarya birrea seed oil polyglyceryl-6 esters","82885","-","-",,
"sclerocarya birrea seed powder","85858","-","-",,
"s-clostridium botulinum decapeptide-1","95221",,,,
"s-clostridium botulinum decapeptide-2","95222",,,,
"s-clostridium botulinum polypeptide-1","96435",,,,
"s-coconut antimicrobial peptide 1","98749",,,,
"scoparia dulcis extract","83815","-","-",,
"scoparone","92012","120-08-1","204-369-0",,
"scordinine","58400","37317-75-2",,,
"scrophularia buergeriana extract","83698","-","-",,
"scrophularia buergeriana root extract","58401",,,,
"scrophularia koraiensis root extract","82513","-","-",,
"scutellaria baicalensis callus culture","89432",,,,
"scutellaria baicalensis root extract","58402","94279-99-9","304-845-9",,
"scutellaria baicalensis root oil","98229",,,,
"scutellaria baicalensis root powder","58403","94279-99-9","304-845-9",,
"scutellaria baicalensis sprout extract","95200",,,,
"scutellaria galericulata extract","78707","90106-66-4","290-290-7",,
"scutellaria galericulata leaf","58404","90106-66-4","290-290-7",,
"scutellaria galericulata root extract","85558","90106-66-4","290-290-7",,
"scutellaria lateriflora extract","58405","90106-67-5","290-291-2",,
"scutellaria lateriflora flower powder","58406","90106-67-5","290-291-2",,
"scyllii pellis extract","37644","225234-43-5","-",,
"sd alcohol 1","92438","8048-19-9","200-578-6",,
"sd alcohol 23-a","92441",,,,
"sd alcohol 23-f","92442",,,,
"sd alcohol 23-h","92443",,,,
"sd alcohol 27-b","92444",,,,
"sd alcohol 30","92445",,,,
"sd alcohol 31-a","92446",,,,
"sd alcohol 36","92447",,,,
"sd alcohol 37","92448",,,,
"sd alcohol 38-b","92449",,,,
"sd alcohol 38-c","92450",,,,
"sd alcohol 38-d","92451",,,,
"sd alcohol 38-f","92452",,,,
"sd alcohol 39","92453",,,,
"sd alcohol 39-a","92454",,,,
"sd alcohol 39-b","92455",,,,
"sd alcohol 39-c","92456",,,,
"sd alcohol 39-d","92457",,,,
"sd alcohol 3-a","92439",,,,
"sd alcohol 3-b","92440",,,,
"sd alcohol 3-c","92508",,,,
"sd alcohol 40-a","92459",,,,
"sd alcohol 40-b","92460",,,,
"sd alcohol 40-c","92461",,,,
"sd alcohol 46","92462",,,,
"s-dna aptamer-1","96117",,,,
"sea anemone extract","90574",,,,
"sea anemone nematocyst","83780","-","-",,
"sea clay extract","58407",,,,
"sea cucumber extract","85903","-","-",,
"sea cucumber powder","89311",,,,
"sea cucumber saponins","91478",,,,
"seahorse extract","93637",,,,
"seal oil","94608",,,,
"sea silt","92613",,,,
"sea snake lipids","83931","-","-",,
"sea squirt extract","98519",,,,
"sea squirt lipids","97112",,,,
"sea urchin extract","58408",,,,
"sea water","92544",,,,
"sea water/artemisia argyi leaf ferment extract","97589",,,,
"sea water/cassia tora seed ferment extract filtrate","98141",,,,
"sea water/nelumbo nucifera leaf ferment extract filtrate","98243",,,,
"sea water/opuntia ficus-indica fruit ferment extract","97587",,,,
"sea water/phellinus linteus ferment extract filtrate","98242",,,,
"sea water/schisandra chinensis fruit ferment extract filtrate","98140",,,,
"sea water/torreya nucifera leaf ferment extract","97588",,,,
"sea water extract","83498","-","-",,
"sea whip extract","58409","-","-",,
"secale cereale adventitious root extract","92052",,,,
"secale cereale callus extract","92053",,,,
"secale cereale phytoplacenta culture extract filtrate","58410","-","-",,
"secale cereale phytoplacenta extract","88851","90106-48-2","290-271-3",,
"secale cereale seed extract","58411","90106-48-2","290-271-3",,
"secale cereale seed flour","58412","90106-48-2","290-270-3",,
"sec-butyl acetate","90066","105-46-4","203-300-1",,
"sec-butyl alcohol","90097","78-92-2","201-158-5",,
"sec-butyl methacrylate","58413","2998-18-7","221-073-7",,
"sec-butylphenyl ethyl glyceryl diether","93009",,,,
"sec-butylphenyl glyceryl ether","93004","1262965-14-9",,,
"sechium edule fruit extract","58414","223748-59-2","-",,
"sechium edule fruit juice","58415","223748-59-2","-",,
"sedimentary rock powder","88889",,,,
"sedum acre extract","78710","90106-69-7","290-293-3",,
"sedum bulbiferum extract","84018","-","-",,
"sedum dendroideum leaf/stem extract","89652",,,,
"sedum kamtschaticum callus culture extract","88311","-","-",,
"sedum kamtschaticum leaf extract","91390",,,,
"sedum purpureum extract","58416",,,,
"sedum rosea root extract","58417","92457-37-9","296-320-5",,
"sedum sarmentosum extract","82954","-","-",,
"sedum takesimense leaf/stem extract","95826",,,,
"selaginella involvens extract","83682","-","-",,
"selaginella pulvinata extract","94947",,,,
"selenicereus megalanthus fruit extract","94931",,,,
"selenicereus monacanthus bud extract","96226",,,,
"selenium/glycine soja sprout extract","83643","-","-",,
"selenium aspartate","84645","-","-",,
"selenium sulfide","37650","7488-56-4","231-303-8",,
"semiaquilegia adoxoides root extract","58420","223748-74-1","-",,
"sempervivum tectorum extract","78712","85117-14-2","285-565-3",,
"sempervivum tectorum leaf juice","97593","85117-14-2 (generic)","285-565-3",,
"senecio cannabifolius extract","86667","-","-",,
"senecio vulgaris extract","78713","84650-58-8","283-517-6",,
"senna garrettiana leaf extract","90465",,,,
"s-enterobacteria phage t4 decapeptide-1 sp trifluoroacetate","97273",,,,
"sepia extract","78714","92202-22-7 / 77465-45-3","296-055-5 / 278-691-5",,
"sepiolite","86275","63800-37-3","264-456-3",,
"sepiolite extract","90067",,,,
"sequoiadendron giganteum bud extract","92821",,,,
"sequoiadendron giganteum callus culture extract","88220","-","-",,
"sequoiadendron giganteum stem extract","92623",,,,
"sequoia sempervirens leaf cell extract","82376","-","-",,
"sequoia sempervirens stem extract","58421",,,,
"serenoa serrulata fruit oil","58425","84604-15-9","283-292-4",,
"serenoa serrulata fruit powder","58426","84604-15-9","283-292-4",,
"serenoa serrulata fruit water","82428","84604-15-9","283-292-4",,
"serica","37657","91079-16-2","293-402-2",,
"serica extract","58427",,,,
"serica powder","78716","9009-99-8","-",,
"sericin","78717","60650-88-6 / 60650-89-7","- / -",,
"sericoside","58428","55306-04-2",,,
"serum protein","78720",,,,
"sesame amino acids","58429",,,,
"sesame oil glycereth-8 esters","58430",,,,
"sesame oil polyglyceryl-6 esters","85623","-","-",,
"sesame seed oil ethyl esters","97013",,,,
"sesame seed oil peg-8 esters","82876","-","-",,
"sesamide dea","37664","124046-35-1",,,
"sesamide dipa","82824","-","-",,
"sesamidopropylamine oxide","37667",,,,
"sesamidopropyl betaine","78830",,,,
"sesamidopropyl dimethylamine","37666",,,,
"sesamum indicum meristem cell culture extract","89865",,,,
"sesamum indicum oil unsaponifiables","78833","8008-74-0","232-370-6",,
"sesamum indicum seed","78834","8008-74-0","232-370-6",,
"sesamum indicum seed butter","84819","8008-74-0","232-370-6",,
"sesamum indicum seedcake extract","97682",,,,
"sesamum indicum seed powder","58501","8008-74-0","232-370-6",,
"sesamum indicum sprout extract","58502","8008-74-0","232-370-6",,
"sesbania grandiflora flower extract","86247","-","-",,
"sesquiethoxytriethanolamine","89724",,,,
"sesquioctyldodecyl lauroyl glutamate","89483",,,,
"setaria italica seed extract","91722",,,,
"setaria viridis extract","98114",,,,
"setaria viridis leaf extract","98109",,,,
"s-glyoxyloyl acetyl cysteine","94857",,,,
"shale extract","58503",,,,
"shark fin extract","95210",,,,
"shark lipids","58504",,,,
"shark liver oil","87425","68990-63-6","273-616-2",,
"sh-barley seed extract","93851",,,,
"sh-decapeptide-1","93394",,,,
"sh-decapeptide-13","85746","-","-",,
"sh-decapeptide-1 sh-oligopeptide-2","94034",,,,
"sh-decapeptide-1 sh-oligopeptide-4","94036",,,,
"sh-decapeptide-1 sh-polypeptide-1","94033",,,,
"sh-decapeptide-1 sh-polypeptide-11","94032",,,,
"sh-decapeptide-1 sh-polypeptide-2","94037",,,,
"sh-decapeptide-1 sh-polypeptide-9","94038",,,,
"sh-decapeptide-1 sr-pineapple stem bromelain","94035",,,,
"sh-decapeptide-2","93714",,,,
"sh-decapeptide-23","89799",,,,
"sh-decapeptide-3","96319",,,,
"sh-decapeptide-3 amide","96316",,,,
"sh-decapeptide-5 sp","97510",,,,
"sh-decapeptide-7","84379","-","-",,
"sh-decapeptide-9","85740","-","-",,
"sh-dna","87510","-","-",,
"sh-dna-1","90100",,,,
"sh-ds phosphorothioate rna-2 cholesterol","94503",,,,
"shea butteramide/castoramide dea","86389","-","-",,
"shea butteramidopropyl betaine","82510","-","-",,
"sheabutteramidopropyl dimethylamine","93244",,,,
"shea butteramidopropyltrimonium chloride","82511","-","-",,
"shea butter cetyl esters","82620","-","-",,
"shea butter decyl esters","58505",,,,
"shea butter glyceride","86391","-","-",,
"shea butter oleyl esters","82621","-","-",,
"shea butter peg-12 dimethicone esters","86308","-","-",,
"shea butter peg-32 esters","58507",,,,
"shea butter peg-8 esters","58508",,,,
"shea butter polyglyceryl-3 esters","90363",,,,
"shea butter polyglyceryl-4 esters","93133",,,,
"shea butter polyglyceryl-6 esters","85642","-","-",,
"sheep adipose stromal cell conditioned media","87401","-","-",,
"sheep dermal cells lysate","91461",,,,
"sheep milk","58509","-","-",,
"sheep milk yogurt extract","97985",,,,
"sheep skin extract","97119",,,,
"sheep skin lysate","90774",,,,
"sheep umbilical mesenchymal stem cell conditioned media","98738",,,,
"shellac cera","78837","97766-50-2","307-913-6",,
"shellac wax","92463","97766-50-2","307-913-6",,
"sh-heptapeptide-1","92169",,,,
"sh-heptapeptide-10 sp","98754",,,,
"sh-heptapeptide-13","89801",,,,
"sh-heptapeptide-18","90806",,,,
"sh-heptapeptide-2","95214",,,,
"sh-heptapeptide-3","95552",,,,
"sh-heptapeptide-4 sp trifluoroacetate","96321",,,,
"sh-heptapeptide-5 sp","96708",,,,
"sh-heptapeptide-6 sp","97121",,,,
"sh-heptapeptide-7 sp","97533",,,,
"sh-heptapeptide-9 sp","98753",,,,
"sh-hexapeptide-1","91594",,,,
"sh-hexapeptide-2","91581",,,,
"sh-hexapeptide-3","94609",,,,
"sh-hexapeptide-4","95215",,,,
"sh-hexapeptide-43","89933",,,,
"sh-hexapeptide-6 sp amide","97060",,,,
"sh-hexapeptide-7 sp","97534",,,,
"sh-humanin sp","97532",,,,
"shikimic acid","86592","138-59-0","205-334-2",,
"shikimoyl hexapeptide-48","90608",,,,
"shikimoyl nonapeptide-11","88772",,,,
"shikimoyl pentapeptide-33","89924",,,,
"shikimoyl sh-nonapeptide-12","89774",,,,
"shikimoyl sh-pentapeptide-5","89775",,,,
"shinorine","92318","73112-73-9",,,
"s-hiv-1 oligopeptide-2 sp","96718",,,,
"s-hiv-1 oligopeptide-3 sp","97087",,,,
"s-hiv-1 oligopeptide-4 sp","97088",,,,
"s-hiv-1 oligopeptide-5 sh-decapeptide-8 sp","97542",,,,
"s-hiv-1 oligopeptide-6 sh-oligopeptide-1 sp","98205",,,,
"s-hiv-1 oligopeptide-7 sh-oligopeptide-1 sp","98206",,,,
"sh-nonapeptide-1","92171",,,,
"sh-nonapeptide-12","89888",,,,
"sh-nonapeptide-2","93710",,,,
"sh-nonapeptide-3","94093",,,,
"sh-nonapeptide-4","94488",,,,
"sh-nonapeptide-5","95128",,,,
"sh-octapeptide-16","90805",,,,
"sh-octapeptide-2","94988",,,,
"sh-octapeptide-3","95883",,,,
"sh-octapeptide-4","87459","-","-",,
"sh-octapeptide-6 sp","98637",,,,
"sh-oligopeptide-10","85513","-","-",,
"sh-oligopeptide-11","85514","-","-",,
"sh-oligopeptide-12","85515","-","-",,
"sh-oligopeptide-13","85516","-","-",,
"sh-oligopeptide-14","85517","-","-",,
"sh-oligopeptide-15","85518","-","-",,
"sh-oligopeptide-16","87421","-","-",,
"sh-oligopeptide-17 sp","97512",,,,
"sh-oligopeptide-18 sp","97518",,,,
"sh-oligopeptide-19 sp","97519",,,,
"sh-oligopeptide-1 alanyl sr-spider oligopeptide-1","94800",,,,
"sh-oligopeptide-1 nonapeptide-29","92029",,,,
"sh-oligopeptide-1 sh-polypeptide-7 dipeptide-19","94478",,,,
"sh-oligopeptide-1 sh-polypeptide-94 dipeptide-35 sh-polypeptide-94 sh-polypeptide-95","94272",,,,
"sh-oligopeptide-1 sr-egyptian scorpion oligopeptide-1","94998",,,,
"sh-oligopeptide-1 sr-ocean pout oligopeptide-1 dipeptide-39","94802",,,,
"sh-oligopeptide-1 sr-sea raven polypeptide-1","94799",,,,
"sh-oligopeptide-1 tripeptide-58 hexapeptide-40 decapeptide-41 sr-spider polypeptide-3","94368",,,,
"sh-oligopeptide-20 sp","97520",,,,
"sh-oligopeptide-21 sp","97521",,,,
"sh-oligopeptide-22 sp","97522",,,,
"sh-oligopeptide-23 sp","97523",,,,
"sh-oligopeptide-24 sp","97524",,,,
"sh-oligopeptide-25 sp","97525",,,,
"sh-oligopeptide-26 sp","97570",,,,
"sh-oligopeptide-27 sp","97571",,,,
"sh-oligopeptide-28 aminobutyroyl sh-decapeptide-6 sp","97536",,,,
"sh-oligopeptide-28 beta-alanine sh-decapeptide-6 sp","97535",,,,
"sh-oligopeptide-33","91319",,,,
"sh-oligopeptide-4","88873",,,,
"sh-oligopeptide-5","85487","-","-",,
"sh-oligopeptide-5 sp","96326",,,,
"sh-oligopeptide-6","85509","61512-76-3","-",,
"sh-oligopeptide-60","87478","-","-",,
"sh-oligopeptide-7","85488","-","-",,
"sh-oligopeptide-70","87477","-","-",,
"sh-oligopeptide-71","88997",,,,
"sh-oligopeptide-72","89939",,,,
"sh-oligopeptide-73","89506",,,,
"sh-oligopeptide-73 amide acetate","94484",,,,
"sh-oligopeptide-73 amide trifluoroacetate","94392",,,,
"sh-oligopeptide-74","90809","386264-39-7",,,
"sh-oligopeptide-75","91007",,,,
"sh-oligopeptide-75 amide","90790",,,,
"sh-oligopeptide-75 sh-oligopeptide-1","91453",,,,
"sh-oligopeptide-76","91555",,,,
"sh-oligopeptide-77","91813",,,,
"sh-oligopeptide-78","91971",,,,
"sh-oligopeptide-79","92039",,,,
"sh-oligopeptide-8","85489","-","-",,
"sh-oligopeptide-80","92263",,,,
"sh-oligopeptide-81 amide","93921",,,,
"sh-oligopeptide-82","94625",,,,
"sh-oligopeptide-82 amide","94324",,,,
"sh-oligopeptide-83 amide","94325",,,,
"sh-oligopeptide-84","95770",,,,
"sh-oligopeptide-85 sp","98676",,,,
"sh-oligopeptide-86","95881",,,,
"sh-oligopeptide-89 sp","96308",,,,
"sh-oligopeptide-9","85490","-","-",,
"sh-oligopeptide-90 sp","96314",,,,
"sh-oligopeptide-91 sp","96315",,,,
"sh-oligopeptide-93","96990",,,,
"sh-oligopeptide-94 sp","97110",,,,
"sh-oligopeptide-95 sp","97256",,,,
"sh-oligopeptide-96 sp","97266",,,,
"sh-oligopeptide-97 sp","98199",,,,
"shorea robusta leaf extract","58510","91770-61-5","294-848-0",,
"shorea robusta resin","58511","9000-16-2 / 91770-61-5","232-528-4 / 294-848-0",,
"shorea robusta resin extract","86529","91770-61-5","294-848-0",,
"shorea robusta seed butter","58512","225234-08-2","-",,
"shorea stenoptera seed butter","58513","91770-65-9","294-851-7",,
"sh-pentapeptide-12 sp","97517",,,,
"sh-pentapeptide-19","85802","-","-",,
"sh-pentapeptide-2","90101",,,,
"sh-pentapeptide-3","92241",,,,
"sh-pentapeptide-35","89617",,,,
"sh-pentapeptide-38","90144",,,,
"sh-pentapeptide-40","89556",,,,
"sh-pentapeptide-5","92866",,,,
"sh-pentapeptide-5 tripeptide-35","90807",,,,
"sh-pentapeptide-6 sp","96702",,,,
"sh-pentapeptide-7","94883",,,,
"sh-pentapeptide-8","95553",,,,
"sh-pentapeptide-9","96318",,,,
"sh-pentapeptide-9 sp amide","97104",,,,
"sh-polypeptide-10","88871",,,,
"sh-polypeptide-100","96231",,,,
"sh-polypeptide-101","95503",,,,
"sh-polypeptide-102","95395",,,,
"sh-polypeptide-103","95396",,,,
"sh-polypeptide-107","95702",,,,
"sh-polypeptide-108","95704",,,,
"sh-polypeptide-110","96107",,,,
"sh-polypeptide-111","96160",,,,
"sh-polypeptide-113","96714",,,,
"sh-polypeptide-11 dipeptide-35 oligopeptide-91 dipeptide- 19 hexapeptide-40","93477",,,,
"sh-polypeptide-12","86046","-","-",,
"sh-polypeptide-120","96926",,,,
"sh-polypeptide-121","96959",,,,
"sh-polypeptide-123","97565","1375784-79-4",,,
"sh-polypeptide-124","97572",,,,
"sh-polypeptide-127","98422",,,,
"sh-polypeptide-128","98425",,,,
"sh-polypeptide-13","90646",,,,
"sh-polypeptide-14","94168",,,,
"sh-polypeptide-15","86051","-","-",,
"sh-polypeptide-16","90655",,,,
"sh-polypeptide-17","86056","-","-",,
"sh-polypeptide-18","86055","-","-",,
"sh-polypeptide-19","88956",,,,
"sh-polypeptide-1 nonapeptide-29","92028",,,,
"sh-polypeptide-2","88968",,,,
"sh-polypeptide-22","86050","-","-",,
"sh-polypeptide-25","86048","-","-",,
"sh-polypeptide-26","86067","-","-",,
"sh-polypeptide-28","86044","-","-",,
"sh-polypeptide-29","86047","-","-",,
"sh-polypeptide-2 sr-egyptian scorpion oligopeptide-1","94997",,,,
"sh-polypeptide-3","88971",,,,
"sh-polypeptide-30","86049","-","-",,
"sh-polypeptide-31","86043","-","-",,
"sh-polypeptide-33","86052","-","-",,
"sh-polypeptide-34","86053","-","-",,
"sh-polypeptide-35","86054","-","-",,
"sh-polypeptide-36","86057","-","-",,
"sh-polypeptide-37","86058","-","-",,
"sh-polypeptide-38","86059","-","-",,
"sh-polypeptide-39","86060","-","-",,
"sh-polypeptide-4","91569",,,,
"sh-polypeptide-40","89750",,,,
"sh-polypeptide-41","86063","-","-",,
"sh-polypeptide-42","86064","-","-",,
"sh-polypeptide-43","86065","-","-",,
"sh-polypeptide-44","86066","-","-",,
"sh-polypeptide-45","86068","-","-",,
"sh-polypeptide-46","86070","-","-",,
"sh-polypeptide-47","88146",,,,
"sh-polypeptide-48","88147",,,,
"sh-polypeptide-49","88148",,,,
"sh-polypeptide-5","88967",,,,
"sh-polypeptide-50","88139",,,,
"sh-polypeptide-50 sh-polypeptide-56","88841",,,,
"sh-polypeptide-51","90883",,,,
"sh-polypeptide-53","88306","-","-",,
"sh-polypeptide-54","88307","-","-",,
"sh-polypeptide-55","88308","-","-",,
"sh-polypeptide-56","91205",,,,
"sh-polypeptide-56 rh-polypeptide-65","90085",,,,
"sh-polypeptide-56 tripeptide-44 rh-polypeptide-7","88537","-","-",,
"sh-polypeptide-56 tripeptide-44 sh-oligopeptide-1","88536","-","-",,
"sh-polypeptide-57","91164",,,,
"sh-polypeptide-58","90908",,,,
"sh-polypeptide-59","89447",,,,
"sh-polypeptide-6","89446",,,,
"sh-polypeptide-60","89606",,,,
"sh-polypeptide-61","93677","1637217-80-1",,,
"sh-polypeptide-62","91570",,,,
"sh-polypeptide-64","91598",,,,
"sh-polypeptide-66","91567",,,,
"sh-polypeptide-67","91568",,,,
"sh-polypeptide-69","90668",,,,
"sh-polypeptide-7","87422",,,,
"sh-polypeptide-70","90435",,,,
"sh-polypeptide-71","90068",,,,
"sh-polypeptide-72","90644",,,,
"sh-polypeptide-73","90645",,,,
"sh-polypeptide-74","90788",,,,
"sh-polypeptide-75","90789",,,,
"sh-polypeptide-76","90914",,,,
"sh-polypeptide-77","90928",,,,
"sh-polypeptide-78","91470",,,,
"sh-polypeptide-7 sh-oligopeptide-1","94479",,,,
"sh-polypeptide-7 sh-polypeptide-94 sh-polypeptide-95","94354",,,,
"sh-polypeptide-8","89778",,,,
